POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G.1,GS,IP,K/9,BB/9,HR/9,BABIP.1,LOB%,GB%,ERA,FIP,WAR.1,Draft_POS
Batter,Brendan Donovan,SEA,120.0,545,12.0,69.0,53.0,6.0,9.00%,14.20%,0.133,0.303,0.274,0.348,0.407,0.331,119.0,-0.9,11.5,0.5,3.1,,,,,,,,,,,,,,,,Util
Batter,Jazz Chisholm Jr.,NYY,131.0,546,26.0,70.0,72.0,27.0,9.50%,25.90%,0.206,0.282,0.24,0.318,0.446,0.329,112.0,2.2,10.3,1.1,3.1,,,,,,,,,,,,,,,,Util
Batter,Austin Riley,ATL,142.0,617,27.0,79.0,88.0,3.0,7.80%,26.20%,0.202,0.316,0.26,0.323,0.462,0.338,116.0,-0.9,11.1,-1.6,3.1,,,,,,,,,,,,,,,,3B
Batter,Michael Harris II,ATL,121.0,485,19.0,61.0,66.0,15.0,4.40%,19.00%,0.19,0.306,0.275,0.311,0.465,0.331,112.0,1.2,8.2,5.8,3.1,,,,,,,,,,,,,,,,Util
Batter,Austin Wells,NYY,100.0,386,16.0,47.0,49.0,5.0,8.50%,24.40%,0.193,0.265,0.229,0.301,0.422,0.314,102.0,-0.3,0.5,7.8,3.1,,,,,,,,,,,,,,,,Util
Batter,Jackson Chourio,MIL,131.0,594,24.0,83.0,73.0,22.0,6.30%,19.90%,0.201,0.302,0.27,0.32,0.471,0.338,118.0,2.2,14.7,-4.7,3.0,,,,,,,,,,,,,,,,Util
Batter,Will Smith,LAD,112.0,472,18.0,61.0,63.0,3.0,11.40%,19.50%,0.187,0.285,0.254,0.349,0.441,0.343,121.0,-1.6,10.0,10.0,3.0,,,,,,,,,,,,,,,,Util
Batter,James Wood,WSN,131.0,598,27.0,86.0,71.0,17.0,12.10%,28.40%,0.216,0.333,0.26,0.353,0.475,0.355,129.0,0.5,21.1,-11.6,3.0,,,,,,,,,,,,,,,,Util
Batter,Xander Bogaerts,SDP,123.0,520,13.0,59.0,59.0,14.0,8.20%,17.30%,0.137,0.307,0.27,0.334,0.407,0.323,111.0,0.8,7.5,3.7,2.9,,,,,,,,,,,,,,,,Util
Batter,Marcus Semien,NYM,148.0,621,20.0,72.0,70.0,9.0,9.00%,16.80%,0.158,0.261,0.241,0.314,0.399,0.312,103.0,0.2,2.0,5.6,2.9,,,,,,,,,,,,,,,,2B
Batter,CJ Abrams,WSN,131.0,589,19.0,74.0,68.0,28.0,6.40%,18.80%,0.175,0.286,0.255,0.315,0.43,0.322,106.0,2.6,6.9,1.7,2.9,,,,,,,,,,,,,,,,Util
Batter,Brice Turang,MIL,139.0,613,14.0,77.0,61.0,26.0,9.30%,20.60%,0.135,0.312,0.26,0.331,0.395,0.319,105.0,2.2,5.6,2.1,2.9,,,,,,,,,,,,,,,,Util
Batter,Byron Buxton,MIN,107.0,489,25.0,72.0,63.0,14.0,7.70%,27.30%,0.24,0.294,0.247,0.315,0.487,0.341,118.0,1.9,12.6,-1.4,2.9,,,,,,,,,,,,,,,,Util
Batter,Riley Greene,DET,134.0,582,25.0,73.0,82.0,3.0,9.00%,27.10%,0.207,0.323,0.26,0.331,0.467,0.343,121.0,-0.7,13.4,-5.5,2.9,,,,,,,,,,,,,,,,Util
