POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
Batter,Jacob Wilson,ATH,113,478,11,58,58,5,5.90%,8.10%,0.145,0.307,0.301,0.348,0.445,0.344,119,-0.5,10.1,5.4,3.3,,,,,,,,,,,,,,,
Batter,Matt Olson,ATL,148,651,31,89,94,1,11.90%,24.10%,0.223,0.298,0.256,0.349,0.479,0.356,129,-2.1,20.1,-10.6,3.2,,,,,,,,,,,,,,,
Batter,Carlos Correa,HOU,112,486,16,59,62,1,9.10%,19.60%,0.165,0.308,0.268,0.338,0.433,0.335,116,-0.8,8.1,6.1,3.2,,,,,,,,,,,,,,,
Batter,Freddie Freeman,LAD,151,658,24,89,94,7,10.50%,18.80%,0.191,0.316,0.279,0.362,0.47,0.357,131,-1.5,22.4,-13.4,3.2,,,,,,,,,,,,,,,
Batter,Patrick Bailey,SFG,104,402,8,40,38,2,7.80%,26.00%,0.121,0.292,0.226,0.29,0.347,0.281,81,-0.7,-9.9,9.1,3.2,,,,,,,,,,,,,,,
Batter,Brendan Donovan,SEA,120,545,12,69,53,6,9.00%,14.20%,0.133,0.303,0.274,0.348,0.407,0.331,119,-0.9,11.5,0.5,3.1,,,,,,,,,,,,,,,
Batter,Jazz Chisholm Jr.,NYY,131,546,26,70,72,27,9.50%,25.90%,0.206,0.282,0.24,0.318,0.446,0.329,112,2.2,10.3,1.1,3.1,,,,,,,,,,,,,,,
Batter,Austin Riley,ATL,142,617,27,79,88,3,7.80%,26.20%,0.202,0.316,0.26,0.323,0.462,0.338,116,-0.9,11.1,-1.6,3.1,,,,,,,,,,,,,,,
Batter,Michael Harris II,ATL,121,485,19,61,66,15,4.40%,19.00%,0.19,0.306,0.275,0.311,0.465,0.331,112,1.2,8.2,5.8,3.1,,,,,,,,,,,,,,,
Batter,Austin Wells,NYY,100,386,16,47,49,5,8.50%,24.40%,0.193,0.265,0.229,0.301,0.422,0.314,102,-0.3,0.5,7.8,3.1,,,,,,,,,,,,,,,
Batter,Jackson Chourio,MIL,131,594,24,83,73,22,6.30%,19.90%,0.201,0.302,0.27,0.32,0.471,0.338,118,2.2,14.7,-4.7,3,,,,,,,,,,,,,,,
Batter,Will Smith,LAD,112,472,18,61,63,3,11.40%,19.50%,0.187,0.285,0.254,0.349,0.441,0.343,121,-1.6,10,10,3,,,,,,,,,,,,,,,
Batter,James Wood,WSN,131,598,27,86,71,17,12.10%,28.40%,0.216,0.333,0.26,0.353,0.475,0.355,129,0.5,21.1,-11.6,3,,,,,,,,,,,,,,,
Batter,Xander Bogaerts,SDP,123,520,13,59,59,14,8.20%,17.30%,0.137,0.307,0.27,0.334,0.407,0.323,111,0.8,7.5,3.7,2.9,,,,,,,,,,,,,,,
Batter,Marcus Semien,NYM,148,621,20,72,70,9,9.00%,16.80%,0.158,0.261,0.241,0.314,0.399,0.312,103,0.2,2,5.6,2.9,,,,,,,,,,,,,,,
Batter,CJ Abrams,WSN,131,589,19,74,68,28,6.40%,18.80%,0.175,0.286,0.255,0.315,0.43,0.322,106,2.6,6.9,1.7,2.9,,,,,,,,,,,,,,,
Batter,Brice Turang,MIL,139,613,14,77,61,26,9.30%,20.60%,0.135,0.312,0.26,0.331,0.395,0.319,105,2.2,5.6,2.1,2.9,,,,,,,,,,,,,,,
Batter,Byron Buxton,MIN,107,489,25,72,63,14,7.70%,27.30%,0.24,0.294,0.247,0.315,0.487,0.341,118,1.9,12.6,-1.4,2.9,,,,,,,,,,,,,,,
Batter,Riley Greene,DET,134,582,25,73,82,3,9.00%,27.10%,0.207,0.323,0.26,0.331,0.467,0.343,121,-0.7,13.4,-5.5,2.9,,,,,,,,,,,,,,,
Batter,Gleyber Torres,DET,142,637,18,80,66,5,11.20%,17.10%,0.146,0.292,0.26,0.346,0.406,0.331,112,-1.8,7.4,-1.5,2.9,,,,,,,,,,,,,,,
Batter,Steven Kwan,CLE,124,573,11,74,49,16,9.50%,9.60%,0.119,0.293,0.278,0.35,0.396,0.328,112,1.3,9.4,-1.3,2.8,,,,,,,,,,,,,,,
Batter,Cody Bellinger,NYY,130,574,24,73,80,9,8.30%,15.10%,0.194,0.274,0.264,0.328,0.457,0.337,118,0.1,12.1,-4.4,2.8,,,,,,,,,,,,,,,
Batter,Kyle Schwarber,PHI,138,626,39,97,90,6,14.90%,27.90%,0.268,0.259,0.231,0.353,0.499,0.364,133,-2.2,22.6,-16.1,2.8,,,,,,,,,,,,,,,
Batter,Rafael Devers,SFG,140,622,29,82,84,2,12.30%,24.90%,0.215,0.293,0.248,0.346,0.464,0.346,125,-1.6,16.8,-10.6,2.7,,,,,,,,,,,,,,,
Batter,Pete Alonso,BAL,146,642,35,88,100,3,9.50%,23.00%,0.24,0.28,0.254,0.337,0.494,0.354,130,-2.4,20.4,-15.8,2.7,,,,,,,,,,,,,,,
Batter,Oneil Cruz,PIT,115,517,22,72,60,27,10.70%,30.10%,0.202,0.308,0.238,0.324,0.439,0.329,109,2.6,8,1.5,2.7,,,,,,,,,,,,,,,
Batter,Brandon Nimmo,TEX,142,642,23,85,72,10,9.70%,22.10%,0.173,0.302,0.256,0.337,0.429,0.334,116,-0.4,11.8,-7.7,2.7,,,,,,,,,,,,,,,
Batter,Jose Altuve,HOU,129,587,20,78,69,12,8.30%,17.00%,0.168,0.293,0.267,0.333,0.435,0.332,114,-0.4,9,-3.1,2.7,,,,,,,,,,,,,,,
Batter,Kevin McGonigle,DET,108,443,12,49,48,8,11.00%,14.80%,0.157,0.281,0.257,0.343,0.414,0.332,113,-0.3,6.6,4.2,2.7,,,,,,,,,,,,,,,
Batter,Dansby Swanson,CHC,129,527,17,58,60,12,8.40%,25.00%,0.158,0.295,0.241,0.308,0.399,0.308,98,1.1,-0.1,8.5,2.7,,,,,,,,,,,,,,,
Batter,Ezequiel Tovar,COL,140,603,20,72,75,9,5.20%,23.50%,0.178,0.316,0.263,0.304,0.441,0.32,91,0.2,-6.2,11.8,2.6,,,,,,,,,,,,,,,
Batter,Luke Keaschall,MIN,109,479,10,56,53,20,9.90%,16.90%,0.133,0.307,0.267,0.35,0.4,0.331,112,0.6,7.2,1.3,2.6,,,,,,,,,,,,,,,
Batter,Yandy Díaz,TBR,133,614,21,84,67,3,9.70%,15.60%,0.171,0.314,0.287,0.362,0.458,0.355,128,-1.7,18.8,-14.9,2.6,,,,,,,,,,,,,,,
Batter,Ceddanne Rafaela,BOS,132,510,16,59,62,18,4.70%,20.70%,0.168,0.298,0.257,0.299,0.425,0.312,95,1.2,-1.6,9,2.5,,,,,,,,,,,,,,,
Batter,Chase Meidroth,CHW,106,483,8,60,39,12,11.60%,14.70%,0.109,0.296,0.261,0.356,0.37,0.325,108,-0.2,4.5,3.7,2.5,,,,,,,,,,,,,,,
Batter,Roman Anthony,BOS,111,511,15,73,52,8,13.10%,25.10%,0.175,0.338,0.264,0.365,0.439,0.352,123,0.1,13.7,-6.7,2.5,,,,,,,,,,,,,,,
Batter,Shea Langeliers,ATH,111,492,27,68,71,5,7.50%,22.70%,0.234,0.273,0.25,0.311,0.484,0.339,115,-0.4,8.5,4.7,2.5,,,,,,,,,,,,,,,
Batter,JJ Wetherholt,STL,106,494,12,64,43,12,10.40%,17.60%,0.137,0.293,0.255,0.342,0.393,0.324,110,0.3,6,1.9,2.5,,,,,,,,,,,,,,,
Batter,Yainer Diaz,HOU,120,481,19,57,66,2,4.40%,17.00%,0.181,0.295,0.273,0.308,0.454,0.327,110,-0.6,5.1,6.3,2.5,,,,,,,,,,,,,,,
Batter,Isaac Paredes,HOU,109,478,21,64,63,1,11.50%,16.80%,0.204,0.259,0.248,0.349,0.452,0.349,125,-1.1,13.1,-5.3,2.5,,,,,,,,,,,,,,,
Batter,Josh Naylor,SEA,133,570,23,71,80,15,8.30%,15.60%,0.184,0.281,0.266,0.33,0.45,0.335,122,-0.3,14.3,-9.9,2.5,,,,,,,,,,,,,,,
Batter,Andy Pages,LAD,124,493,21,62,68,9,5.90%,21.30%,0.195,0.286,0.255,0.308,0.451,0.326,110,0.1,5.7,1.9,2.5,,,,,,,,,,,,,,,
Batter,Francisco Alvarez,NYM,96,366,18,48,50,2,9.40%,24.40%,0.217,0.274,0.241,0.32,0.458,0.335,119,-0.6,7.5,1.8,2.4,,,,,,,,,,,,,,,
Batter,George Springer,TOR,134,609,26,86,73,13,10.10%,19.30%,0.196,0.285,0.259,0.34,0.455,0.344,122,0.7,16.5,-14,2.4,,,,,,,,,,,,,,,
Batter,Xavier Edwards,MIA,106,482,4,59,39,22,8.90%,13.90%,0.09,0.328,0.286,0.352,0.376,0.321,104,1.9,4.4,2.9,2.4,,,,,,,,,,,,,,,
Batter,Bryson Stott,PHI,127,529,13,62,58,21,8.90%,16.30%,0.138,0.288,0.257,0.327,0.395,0.316,100,1.6,1.8,3.4,2.3,,,,,,,,,,,,,,,
Batter,Drake Baldwin,ATL,110,485,18,65,61,1,9.30%,17.10%,0.18,0.293,0.268,0.341,0.448,0.343,120,-1,10.4,-2.5,2.3,,,,,,,,,,,,,,,
Batter,Kazuma Okamoto,TOR,130,516,22,61,68,3,8.80%,17.00%,0.195,0.261,0.248,0.321,0.444,0.328,111,-0.9,5.9,-1.5,2.3,,,,,,,,,,,,,,,
Batter,Luis Arraez,SFG,129,592,6,72,51,9,5.10%,4.50%,0.098,0.31,0.305,0.345,0.403,0.326,111,0,8,-5.5,2.3,,,,,,,,,,,,,,,
Batter,Jordan Westburg,BAL,96,414,17,54,55,4,6.50%,21.70%,0.2,0.302,0.264,0.32,0.464,0.337,118,-0.2,8.5,-0.7,2.3,,,,,,,,,,,,,,,
Batter,Dillon Dingler,DET,86,344,10,36,39,1,6.80%,24.30%,0.159,0.299,0.245,0.305,0.404,0.308,96,-0.4,-1.8,8.4,2.3,,,,,,,,,,,,,,,
Batter,Colson Montgomery,CHW,118,527,24,65,64,3,8.70%,29.20%,0.197,0.271,0.221,0.299,0.417,0.311,98,-0.6,-1.7,5.4,2.2,,,,,,,,,,,,,,,
Batter,Taylor Ward,BAL,137,610,25,80,77,5,10.30%,24.00%,0.194,0.287,0.244,0.328,0.437,0.332,115,-1.5,9.3,-8.4,2.2,,,,,,,,,,,,,,,
Batter,Ben Rice,NYY,108,465,23,62,68,4,10.30%,21.40%,0.229,0.267,0.246,0.332,0.475,0.347,125,-0.8,12.9,-7,2.2,,,,,,,,,,,,,,,
Batter,Trent Grisham,NYY,106,478,20,65,52,5,12.80%,25.00%,0.194,0.255,0.219,0.326,0.413,0.324,109,-0.4,4.7,0.4,2.2,,,,,,,,,,,,,,,
